"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://nmgtechnologies.com/industry/travel","1","NMG Technologies is a leading IT outsourcing company with over 12 years of experience, 1000+ projects delivered, 500+Clients and a 100+ people team in-house. Get Started Today!","176","1148","Indexable",""
"https://nmgtechnologies.com/industry/marketresearch","1","NMG Technologies is a leading IT outsourcing company with over 12 years of experience, 1000+ projects delivered, 500+Clients and a 100+ people team in-house. Get Started Today!","176","1148","Indexable",""
"https://nmgtechnologies.com/services/web-development","1","Custom ERP software development services. We create tailored solutions for your business needs. Reduce costs and gain a competitive edge. Get a quote now!","154","1011","Indexable",""
"https://nmgtechnologies.com/services/erp-development","1","Custom ERP software development services. We create tailored solutions for your business needs. Reduce costs and gain a competitive edge. Get a quote now!","154","1011","Indexable",""
"https://nmgtechnologies.com/industry/healthcare","1","NMG Technologies is a leading IT outsourcing company with over 12 years of experience, 1000+ projects delivered, 500+Clients and a 100+ people team in-house. Get Started Today!","176","1148","Indexable",""
"https://nmgtechnologies.com/industry/staffing","1","NMG Technologies is a leading IT outsourcing company with over 12 years of experience, 1000+ projects delivered, 500+Clients and a 100+ people team in-house. Get Started Today!","176","1148","Indexable",""
"https://nmgtechnologies.com/services/ecommerce-development/magento-development/","1","Boost Your Sales with Expert Magento Development. Hire Certified Developers to build Scalable Online Stores. Get a Free Quote Today!","132","855","Indexable",""
"https://nmgtechnologies.com/services/crm-development","1","Boost Your Sales with Expert Magento Development. Hire Certified Developers to build Scalable Online Stores. Get a Free Quote Today!","132","855","Indexable",""
"https://nmgtechnologies.com/blog","1","Blog Description","16","103","Indexable",""
"https://nmgtechnologies.com/blog/author/nishtha","1","Blog Description","16","103","Indexable",""
"https://nmgtechnologies.com/success-stories/competiscan","1","NMG Technologies is a leading IT outsourcing company with over 12 years of experience, 1000+ projects delivered, 500+Clients and a 100+ people team in-house. Get Started Today!","176","1148","Indexable",""
"https://nmgtechnologies.com/success-stories","1","For an in-depth look at our most interesting client cases, please read from these client successful stories.","108","663","Indexable",""
"https://nmgtechnologies.com/clients/case-studies/","1","For an in-depth look at our most interesting client cases, please read from these client successful stories.","108","663","Indexable",""
"https://nmgtechnologies.com/success-stories/compound-banc","1","NMG Technologies is a leading IT outsourcing company with over 12 years of experience, 1000+ projects delivered, 500+Clients and a 100+ people team in-house. Get Started Today!","176","1148","Indexable",""
"https://nmgtechnologies.com/success-stories/international-insurance","1","NMG Technologies is a leading IT outsourcing company with over 12 years of experience, 1000+ projects delivered, 500+Clients and a 100+ people team in-house. Get Started Today!","176","1148","Indexable",""
"https://nmgtechnologies.com/success-stories/wealth-concert","1","NMG Technologies is a leading IT outsourcing company with over 12 years of experience, 1000+ projects delivered, 500+Clients and a 100+ people team in-house. Get Started Today!","176","1148","Indexable",""
