"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://nmgtechnologies.com/blog/nmg-technologies-to-participate-in-mobile-word-capital-barcelona-the-worlds-largest-and-most-influential-connectivity-event","https://nmgtechnologies.com/solution/blockchain/","0","","Blockchain","301","Moved Permanently","true","","","Absolute","//body/div[1]/div[2]/div/footer/div[1]/div[@class='kl-footer__content']/div[@class='kl-footer__menu']/div[@class='kl-footer__group'][2]/ul/li[6]/a","Footer","HTML"
"Hyperlink","https://nmgtechnologies.com/sitemap","https://nmgtechnologies.com/solution/blockchain/","0","","Blockchain","301","Moved Permanently","true","","noopener","Root-Relative","//body/div[2]/main/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/span/section[1]/div/ul[3]/ul/li/ul/li[6]/a","Content","HTML"
"Hyperlink","https://nmgtechnologies.com/blog/nmg-to-participate-in-the-largest-tech-expo-in-the-middle-east-gitex-global-2023-dubai","https://nmgtechnologies.com/solution/blockchain/","0","","Blockchain","301","Moved Permanently","true","","","Absolute","//body/div[1]/div[2]/div/footer/div[1]/div[@class='kl-footer__content']/div[@class='kl-footer__menu']/div[@class='kl-footer__group'][2]/ul/li[6]/a","Footer","HTML"
"Hyperlink","https://nmgtechnologies.com/blog/working-from-home-during-the-coronavirus-lockdown","https://nmgtechnologies.com/solution/blockchain/","0","","Blockchain","301","Moved Permanently","true","","","Absolute","//body/div[1]/div[2]/div/footer/div[1]/div[@class='kl-footer__content']/div[@class='kl-footer__menu']/div[@class='kl-footer__group'][2]/ul/li[6]/a","Footer","HTML"
"Hyperlink","https://nmgtechnologies.com/blog/nmg-technologies-participated-in-softwave-2023-the-republic-of-korea-software-exhibition","https://nmgtechnologies.com/solution/blockchain/","0","","Blockchain","301","Moved Permanently","true","","","Absolute","//body/div[1]/div[2]/div/footer/div[1]/div[@class='kl-footer__content']/div[@class='kl-footer__menu']/div[@class='kl-footer__group'][2]/ul/li[6]/a","Footer","HTML"
"Hyperlink","https://nmgtechnologies.com/blog/why-does-enterprise-mobility-solutions-become-so-popular","https://nmgtechnologies.com/solution/blockchain/","0","","Blockchain","301","Moved Permanently","true","","","Absolute","//body/div[1]/div[2]/div/footer/div[1]/div[@class='kl-footer__content']/div[@class='kl-footer__menu']/div[@class='kl-footer__group'][2]/ul/li[6]/a","Footer","HTML"
"Hyperlink","https://nmgtechnologies.com/blog/covid-19-resources","https://nmgtechnologies.com/solution/blockchain/","0","","Blockchain","301","Moved Permanently","true","","","Absolute","//body/div[1]/div[2]/div/footer/div[1]/div[@class='kl-footer__content']/div[@class='kl-footer__menu']/div[@class='kl-footer__group'][2]/ul/li[6]/a","Footer","HTML"
"Hyperlink","https://nmgtechnologies.com/blog/stay-ahead-of-the-game-with-koora-break-your-ultimate-companion-for-football-updates","https://nmgtechnologies.com/solution/blockchain/","0","","Blockchain","301","Moved Permanently","true","","","Absolute","//body/div[1]/div[2]/div/footer/div[1]/div[@class='kl-footer__content']/div[@class='kl-footer__menu']/div[@class='kl-footer__group'][2]/ul/li[6]/a","Footer","HTML"
"Hyperlink","https://nmgtechnologies.com/blog/wordpress-website-perfect-solution-small-business","https://nmgtechnologies.com/solution/blockchain/","0","","Blockchain","301","Moved Permanently","true","","","Absolute","//body/div[1]/div[2]/div/footer/div[1]/div[@class='kl-footer__content']/div[@class='kl-footer__menu']/div[@class='kl-footer__group'][2]/ul/li[6]/a","Footer","HTML"
"Hyperlink","https://nmgtechnologies.com/blog/top-wordpress-themes","https://nmgtechnologies.com/solution/blockchain/","0","","Blockchain","301","Moved Permanently","true","","","Absolute","//body/div[1]/div[2]/div/footer/div[1]/div[@class='kl-footer__content']/div[@class='kl-footer__menu']/div[@class='kl-footer__group'][2]/ul/li[6]/a","Footer","HTML"
